iter	thetaS	mu	kappa	phi	moveType	accepted	likelihood	alpha	nblocks	nrblocks	param0	param1	omega0	rho0
720	0.000161724	0.00170733	1.68134	0	2	1	-6059.47	-0.0448328	1	1	0	8.00386	8.00386	2.41069e+14
730	0.000179839	0.000765654	5.88747	0	8	0	-6058.48	-0.322463	1	1	0	1.74621e+14	18.0254	2.41069e+14
740	0.000124536	0.000530203	5.88747	0	7	0	-6060.37	-1.56407	1	1	3.04168	1.71256e+14	9.95718	1.71256e+14
750	0.000124536	0.000530203	5.88747	0	2	1	-6059.85	-0.360978	1	1	0	59.0907	59.0907	2.06249e+14
760	0.000241658	0.000809051	7.8024	0	8	0	-6058.6	-0.555733	1	1	0	7.88451e+13	16.0786	1.37444e+14
770	0.00103883	0.00144716	20.3809	0	7	1	-6060.84	-1.26629	1	1	20.3809	8.14784	8.14784	2.64e+14
780	0.000439153	0.000872594	13.9418	0	7	1	-6058.88	1.04826	1	1	13.9418	3.805e+14	8.14784	3.805e+14
790	0.000314626	0.000872594	9.65913	0	8	1	-6058.67	0.148534	1	1	0	4.06299e+14	11.7593	4.06299e+14
800	0.000605312	0.00156804	10.4234	0	6	1	-6059.18	0.12688	1	1	0.00156804	9.0425e+14	8.94666	9.0425e+14
810	0.000392206	0.00096483	11.0377	0	7	1	-6058.75	1.23389	1	1	11.0377	4.02407	8.94666	1.70899e+15
820	0.00039552	0.00052562	21.4205	0	2	0	-6059.71	-1.25712	1	1	0	4.5374	8.94666	1.02728e+15
830	0.000703487	0.00108196	18.351	0	6	1	-6059.44	-0.0651658	1	1	0.00108196	7.64429	7.64429	9.07313e+14
840	0.00079271	0.00121918	18.351	0	2	1	-6059.3	0.145756	1	1	0	5.80973	5.80973	1.92971e+15
850	0.00079271	0.00121918	18.351	0	2	1	-6059.41	-0.750304	1	1	0	2.96613	2.96613	6.22133e+15
860	0.000309263	0.000475644	18.351	0	6	1	-6059.01	-0.14556	1	1	0.000475644	5.49021e+15	10.5501	5.49021e+15
870	0.000453848	0.00075238	16.941	0	6	1	-6059.15	0.0989364	1	1	0.00075238	5.49021e+15	10.5501	5.49021e+15
880	0.000172676	0.000572781	7.88571	0	7	1	-6058.54	0.116298	1	1	7.88571	20.0804	20.0804	7.88614e+15
890	0.000172676	0.000572781	7.88571	0	8	1	-6059.61	-0.387902	1	1	0	8.79799e+15	40.3665	8.79799e+15
900	0.000172676	0.000572781	7.88571	0	2	1	-6058.67	-0.573652	1	1	0	14.0435	14.0435	6.85267e+15
910	0.000171225	0.00112925	3.38898	0	2	1	-6059.59	-0.134238	1	1	0	36.0522	36.0522	1.11343e+16
920	8.07874e-05	0.000532804	3.38898	0	8	1	-6058.71	0.341169	1	1	0	3.04336e+16	52.2519	3.04336e+16
930	0.00011082	0.000631218	4.10737	0	6	1	-6058.48	0.11983	1	1	0.000631218	1.54917e+16	24.33	2.37841e+16
940	0.000173952	0.000409045	11.6008	0	6	1	-6058.88	-0.671264	1	1	0.000409045	5.81573e+16	13.4341	5.81573e+16
950	5.2565e-05	0.000216248	6.13339	0	8	1	-6059.88	-0.0858036	1	1	0	4.14949e+16	18.9666	4.14949e+16
960	5.19858e-05	0.000112828	12.6657	0	6	1	-6058.8	-0.548355	1	1	0.000112828	1.96395e+16	49.3944	4.14949e+16
970	0.000115828	0.000251389	12.6657	0	2	1	-6060.77	0.428834	1	1	0	80.5178	80.5178	5.64448e+16
980	5.18816e-05	0.000112602	12.6657	0	2	1	-6058.79	0.0196462	1	1	0	87.286	87.286	3.49131e+16
990	5.6842e-05	7.88603e-05	20.4695	0	8	0	-6061.42	-0.804567	1	1	0	2.4152e+16	182.438	5.39973e+16
1000	1.95811e-05	2.64913e-05	21.0204	0	2	0	-6060.5	-0.57658	1	1	0	438.15	169.323	2.87213e+16
1010	2.74718e-05	2.16708e-05	36.8816	0	6	1	-6059.52	0.0811066	1	1	2.16708e-05	177.56	177.56	4.73621e+16
1020	8.26545e-06	1.59202e-05	14.4192	0	6	0	-6059.6	-1.70672	1	1	6.87905e-06	663.311	409.116	3.57791e+16
1030	9.93108e-06	1.59202e-05	17.5589	0	8	0	-6060.2	-0.694714	1	1	0	9.14006e+15	816.165	1.83088e+16
1040	4.25619e-06	9.38534e-06	12.4479	0	2	1	-6059.3	-1.41619	1	1	0	388.224	388.224	1.05382e+16
1050	6.45321e-06	1.423e-05	12.4479	0	2	0	-6059.9	-0.476489	1	1	0	1190.33	550.126	1.28815e+16
1060	5.74791e-06	1.423e-05	10.9605	0	6	0	-6059.49	-1.45938	1	1	7.48118e-06	266.535	464.257	4.2787e+16
1070	1.42513e-05	3.06453e-05	12.7944	0	6	0	-6062.23	-2.16953	1	1	5.44525e-05	1.59643e+17	471.828	1.59643e+17
1080	6.50438e-06	2.54673e-05	6.50322	0	6	0	-6058.47	-0.0325932	1	1	2.27977e-05	649.775	649.775	8.00177e+16
1090	2.00982e-06	1.15309e-05	4.06937	0	2	0	-6058.46	-0.1708	1	1	0	1270.82	2701.19	8.00177e+16
1100	1.73331e-06	8.26436e-06	5.13273	0	2	0	-6058.91	-1.00167	1	1	0	947.131	1587.54	8.00177e+16
1110	2.90209e-06	8.26436e-06	9.37683	0	8	1	-6058.94	-0.195938	1	1	0	1.61603e+17	650.778	1.61603e+17
1120	5.26385e-06	1.499e-05	9.37683	0	2	1	-6058.64	-0.423907	1	1	0	477.297	477.297	3.81097e+17
1130	8.62998e-06	2.6134e-05	8.74853	0	8	1	-6058.57	0.60184	1	1	0	1.95361e+17	477.297	1.95361e+17
1140	8.62998e-06	2.6134e-05	8.74853	0	8	1	-6058.69	0.944333	1	1	0	7.06952e+17	543.495	7.06952e+17
1150	7.79948e-06	3.1429e-05	6.28597	0	2	1	-6058.62	0.00355017	1	1	0	581.072	581.072	7.06952e+17
1160	1.04285e-05	4.20231e-05	6.28597	0	8	1	-6058.85	0.331739	1	1	0	7.63165e+17	505.786	7.63165e+17
1170	7.137e-06	4.20231e-05	3.93541	0	7	1	-6058.51	-0.0059801	1	1	3.93541	5.32411e+18	530.147	5.32411e+18
1180	8.99689e-06	8.46783e-05	2.02717	0	7	1	-6059.31	0.183266	1	1	2.02717	5.06068e+18	530.147	5.33137e+18
1190	9.04212e-06	7.77433e-05	2.32906	0	7	0	-6059.49	-1.66476	1	1	0.880427	2.98431e+19	422.249	2.98431e+19
1200	1.05855e-05	9.13433e-05	2.31644	0	8	1	-6059.04	0.246843	1	1	0	4.53014e+19	422.249	4.53014e+19
1210	1.71524e-05	9.13433e-05	4.47391	0	7	1	-6059.17	0.204715	1	1	4.47391	8.95065e+19	338.771	8.95065e+19
1220	3.04306e-05	0.000162055	4.47391	0	8	1	-6058.68	0.184406	1	1	0	1.15888e+20	149.425	1.15888e+20
1230	4.13615e-05	0.000236844	4.07948	0	8	1	-6059.18	-0.0543991	1	1	0	1.09753e+20	137.97	1.09753e+20
1240	3.54892e-05	0.000236844	3.33542	0	8	1	-6058.64	-0.741084	1	1	0	5.23078e+19	58.0406	5.23078e+19
1250	3.54892e-05	0.000236844	3.33542	0	2	1	-6059.85	-0.321258	1	1	0	26.3541	26.3541	4.35046e+19
1260	6.94343e-05	0.000495765	3.04171	0	8	1	-6058.52	0.436036	1	1	0	5.85856e+19	39.3849	5.85856e+19
1270	6.94343e-05	0.000495765	3.04171	0	2	0	-6062.22	-2.42078	1	1	0	145.436	73.7595	1.54154e+20
1280	0.000147981	0.000554365	6.84945	0	2	0	-6064.71	-1.44034	1	1	0	102.311	86.5116	1.89837e+20
1290	7.60613e-05	0.00028494	6.84945	0	6	1	-6059.29	0.23782	1	1	0.00028494	83.0067	83.0067	5.03134e+19
1300	4.2849e-05	0.000135374	8.33747	0	7	1	-6058.51	0.147715	1	1	8.33747	1.57508e+20	83.0067	1.57508e+20
1310	5.48929e-05	0.000173425	8.33747	0	8	1	-6058.51	0.978556	1	1	0	4.12357e+20	61.668	4.12357e+20
1320	3.09264e-05	9.77067e-05	8.33747	0	6	1	-6058.55	-0.0238314	1	1	9.77067e-05	2.94674e+21	89.3073	2.94674e+21
1330	1.98646e-05	6.27588e-05	8.33747	0	6	1	-6058.76	1.12558	1	1	6.27588e-05	3.46617e+21	106.136	3.46617e+21
1340	1.60685e-05	3.769e-05	11.6329	0	7	1	-6058.73	0.0942617	1	1	11.6329	1.56553e+22	277.143	1.56553e+22
1350	7.88627e-06	2.88066e-05	7.05434	0	8	0	-6058.66	-0.957833	1	1	0	7.60763e+21	277.143	1.98258e+22
1360	6.85956e-06	3.85053e-05	4.18481	0	7	0	-6058.88	-1.15229	1	1	2.09596	1.6526e+22	434.855	1.6526e+22
1370	5.60373e-06	3.85053e-05	3.20606	0	6	0	-6058.94	-0.96578	1	1	2.29345e-05	472.39	472.39	1.95398e+22
1380	4.55339e-06	2.03472e-05	5.55442	0	6	1	-6058.65	-0.802332	1	1	2.03472e-05	1.10714e+22	454.162	1.95398e+22
1390	5.59322e-06	1.09744e-05	14.1335	0	7	1	-6058.76	0.000487584	1	1	14.1335	430.13	743.096	1.95398e+22
1400	7.42081e-06	1.09744e-05	19.1311	0	2	1	-6059.45	-0.14059	1	1	0	838.197	838.197	1.1237e+22
1410	9.80886e-06	6.23951e-06	46.0157	0	2	1	-6059.91	0.557787	1	1	0	587.66	587.66	2.04514e+22
1420	1.23161e-05	1.28584e-05	27.5828	0	6	1	-6060.05	0.39449	1	1	1.28584e-05	4.96689e+22	587.66	4.96689e+22
1430	8.69134e-06	1.75657e-05	13.6872	0	2	1	-6058.7	-0.0233966	1	1	0	393.929	393.929	1.46548e+23
1440	5.12595e-06	1.96812e-05	6.65469	0	2	0	-6059.25	-1.59676	1	1	0	272.649	597.732	1.46548e+23
1450	8.75438e-06	3.92893e-05	5.52542	0	7	1	-6058.81	0.117489	1	1	5.52542	6.14442e+23	581.507	6.14442e+23
